menus,time_stamps
"Roma tomatoes with red onions, Bulgarian feta and mozzarella cheeses, lemon juice and lemon zest, garlic olive oil and fresh cilantro.",20101123195608
"OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays HOLIDAY HOURS:CLOSED: Nov. 25 - 29: reopen Tues, Nov. 30OPEN: Dec. 24 - 11:30 to 3CLOSED: Dec. 25 - 27OPEN: Dec. 28 - Dec. 30 - regular hours             Dec. 31 -  11am to 6pm CLOSED: Jan. 1 - 10Reopen Tues, Jan. 11",20101123195608
"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest and juice, Cilantro, Garlic olive oil.",20110718162354
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20110718162354
"Red bell peppers, Onions, Mozzarella, Montalban cheese, Kalamata olives, Garlic olive oil, Italian parsley.",20110728065819
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20110728065819
"Red bell peppers, Onions, French feta, Mozzarella, Tapenade.",20110903051228
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20110903051228
"Gypsy pepper, Onions, French goat cheese, Mozzarella, Fresh herbs, Garlic olive oil.",20110925070839
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20110925070839
"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",20111007003758
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20111007003758
"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",20111010051022
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20111010051022
"Fresh Asiago, Danish Blue, Mozzarella, Parmesan cheese, Red, Yellow and Green Onions, Fresh herbs.",20111026151617
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20111026151617
"Broccolini, Red onions, Cheddar cheese, Mozzarella, Gremolata, Garlic olive oil. ",20111114044420
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20111114044420
"4 cheeses (Fresh asiago, Danish blue, Mozzarella, Parmesan), 3 Onions (Red, Yellow and Green), Basil, Garlic olive oil. ",20111207061617
OPEN TUESDAYS - SATURDAYSLUNCH  11:30 - 3:00DINNER  4:30 - 8:00closed Sundays and Mondays ,20111207061617
The Pizzeria is closed today.,20120103131045
