pizza_index,raw_menus,time_stamps,menus_clean,garnish,title,ingredients
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,roma tomatoes with red onion
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,feta 
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,mozzarella cheese
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,lemon juice 
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,lemon zest
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,garlic olive oil 
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",11/23/10 19:56,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,,fresh cilantro
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,roma tomatoes
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,red onion
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,feta
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,mozzarella cheese
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,lemon zest 
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",7/18/11 16:23,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,,juice
